|  Dec  |  Hex   |  Sym  | Description                               |
+-------+--------+-------+-------------------------------------------+
|    0  |  0x00  |   NUL |  Null character                           |
|    1  |  0x01  |   SOH |  Start of Heading                         |
|    2  |  0x02  |   STX |  Start of Text                            |
|    3  |  0x03  |   ETX |  End of Text                              |
|    4  |  0x04  |   EOT |  End of Transmission                      |
|    5  |  0x05  |   ENQ |  Enquiry                                  |
|    6  |  0x06  |   ACK |  Acknowledge                              |
|    7  |  0x07  |   BEL |  Bell, Alert                              |
|    8  |  0x08  |   BS  |  Backspace                                |
|    9  |  0x09  |   HT  |  Horizontal Tab                           |
|   10  |  0x0a  |   LF  |  Line Feed                                |
|   11  |  0x0b  |   VT  |  Vertical Tabulation                      |
|   12  |  0x0c  |   FF  |  Form Feed                                |
|   13  |  0x0d  |   CR  |  Carriage Return                          |
|   14  |  0x0e  |   SO  |  Shift Out                                |
|   15  |  0x0f  |   SI  |  Shift In                                 |
|   16  |  0x10  |   DLE |  Data Link Escape                         |
|   17  |  0x11  |   DC1 |  Device Control One (XON)                 |
|   18  |  0x12  |   DC2 |  Device Control Two                       |
|   19  |  0x13  |   DC3 |  Device Control Three (XOFF)              |
|   20  |  0x14  |   DC4 |  Device Control Four                      |
|   21  |  0x15  |   NAK |  Negative Acknowledge                     |
|   22  |  0x16  |   SYN |  Synchronous Idle                         |
|   23  |  0x17  |   ETB |  End of Transmission Block                |
|   24  |  0x18  |   CAN |  Cancel                                   |
|   25  |  0x19  |   EM  |  End of medium                            |
|   26  |  0x1a  |   SUB |  Substitute                               |
|   27  |  0x1b  |   ESC |  Escape                                   |
|   28  |  0x1c  |   FS  |  File Separator                           |
|   29  |  0x1d  |   GS  |  Group Separator                          |
|   30  |  0x1e  |   RS  |  Record Separator                         |
|   31  |  0x1f  |   US  |  Unit Separator                           |
|   32  |  0x20  |   SP  |  Space                                    |
|   33  |  0x21  |   !   |  Exclamation mark                         |
|   34  |  0x22  |   "   |  Double quotes (or speech marks)          |
|   35  |  0x23  |   #   |  Number sign                              |
|   36  |  0x24  |   $   |  Dollar                                   |
|   37  |  0x25  |   %   |  Per cent sign                            |
|   38  |  0x26  |   &   |  Ampersand                                |
|   39  |  0x27  |   '   |  Single quote                             |
|   40  |  0x28  |   (   |  Open parenthesis (or open bracket)       |
|   41  |  0x29  |   )   |  Close parenthesis (or close bracket)     |
|   42  |  0x2a  |   *   |  Asterisk                                 |
|   43  |  0x2b  |   +   |  Plus                                     |
|   44  |  0x2c  |   ,   |  Comma                                    |
|   45  |  0x2d  |   -   |  Hyphen-minus                             |
|   46  |  0x2e  |   .   |  Period, dot or full stop                 |
|   47  |  0x2f  |   /   |  Slash or divide                          |
|   48  |  0x30  |   0   |  Zero                                     |
|   49  |  0x31  |   1   |  One                                      |
|   50  |  0x32  |   2   |  Two                                      |
|   51  |  0x33  |   3   |  Three                                    |
|   52  |  0x34  |   4   |  Four                                     |
